SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
C9orf89,-0.368438068,0.230022617,,,,,,,,,,
RMDN2,2.442907658,1.77E-23,,,,,,,,,,
PRRC1,-0.912467165,2.47E-11,,,,,,,,,,
FGD4,0.325742574,0.104680794,,,,,,,,,,
PCMTD1,-0.525833502,0.083223317,,,,,,,,,,
TMEM68,-0.376934734,0.183320982,,,,,,,,,,
FAM20A,0.069064457,0.849291195,,,,,,,,,,
HSPA12B,0.263487573,0.489893557,,,,,,,,,,
TMEM56,0.513770459,0.004935463,,,,,,,,,,
CCDC43,-0.332451,0.199892371,,,,,,,,,,
COG8,-0.214790867,0.518623422,,,,,,,,,,
MBOAT7,-0.479682764,0.057317488,,,,,,,,,,
DOCK7,-1.6427157,5.13E-08,,,,,,,,,,
UROC1,3.69023035,1.21E-35,,,,,,,,,,
RILP,-0.345382906,0.209703638,,,,,,,,,,
SFXN2,0.381572035,0.079951901,,,,,,,,,,
SLC46A1,-1.328238028,2.37E-07,,,,,,,,,,
AMDHD1,2.120792079,5.25E-19,,,,,,,,,,
AGAP3,0.500313195,0.128773727,,,,,,,,,,
ARAP1,-1.100333401,1.17E-05,,,,,,,,,,
IPO9,-2.165467771,1.64E-29,,,,,,,,,,
MIA2,-0.304031117,0.209502732,,,,,,,,,,
PGLYRP2,-0.538199636,0.000259268,,,,,,,,,,
MCEE,1.22755102,5.42E-11,,,,,,,,,,
RBM14,-1.483562336,4.12E-14,,,,,,,,,,
GBP5,-0.728197616,0.025004502,,,,,,,,,,
GBP4,-0.411699333,0.151218874,,,,,,,,,,
NEDD4L,-1.158021823,6.96E-05,,,,,,,,,,
QKI,-0.870478885,9.16E-05,,,,,,,,,,
PUS7,0.353849262,0.272873082,,,,,,,,,,
TRAPPC9,-0.150444534,0.685828182,,,,,,,,,,
PLIN4,0.061285108,0.880653159,,,,,,,,,,
TRNT1,-1.196847848,7.70E-13,,,,,,,,,,
SMG1,1.874510002,0.000146089,,,,,,,,,,
ALS2,0.4162255,0.363717914,,,,,,,,,,
PPP1R10,0.4986765,0.154572065,,,,,,,,,,
TEFM,0.232056981,0.405091509,,,,,,,,,,
MTMR9,-0.693382502,0.027919943,,,,,,,,,,
VPS35,-0.742897555,7.45E-13,,,,,,,,,,
PURB,-1.945302081,2.15E-18,,,,,,,,,,
MAGI1,-0.040119216,0.890978664,,,,,,,,,,
RBP7,0.137936957,0.398404941,,,,,,,,,,
SNX18,-0.903677511,0.00024893,,,,,,,,,,
UIMC1,1.490836533,0.000568136,,,,,,,,,,
VPS13A,-0.478672459,0.054199303,,,,,,,,,,
MED15,0.797898565,0.035373654,,,,,,,,,,
GFM1,-0.829460497,9.74E-11,,,,,,,,,,
ERGIC2,-0.424166498,0.077301369,,,,,,,,,,
MCCC1,0.766659931,1.69E-07,,,,,,,,,,
CAMKK2,-0.044574662,0.914976609,,,,,,,,,,
NUDCD1,-2.768417862,6.08E-23,,,,,,,,,,
ERBB2IP,-1.521054759,1.27E-13,,,,,,,,,,
FNBP1,-1.104829258,1.47E-05,,,,,,,,,,
LMF1,-0.03927056,0.862894963,,,,,,,,,,
WDR24,-0.701727622,0.145110435,,,,,,,,,,
C16orf13,0.062527783,0.741238478,,,,,,,,,,
TP53RK,-0.895059608,4.99E-07,,,,,,,,,,
PIGS,-0.79225096,0.006221064,,,,,,,,,,
WRNIP1,-1.10966862,0.001131161,,,,,,,,,,
RANBP9,0.157658113,0.628012059,,,,,,,,,,
CLCC1,0.07457062,0.67553751,,,,,,,,,,
UBL7,-1.148686603,0.000644102,,,,,,,,,,
MYADM,-0.867144878,8.05E-06,,,,,,,,,,
PLEKHF1,-0.401909477,0.087785377,,,,,,,,,,
PPP1R9B,-0.329571631,0.322973369,,,,,,,,,,
SRPK1,0.024267529,0.943614662,,,,,,,,,,
STRBP,0.000656698,0.998411701,,,,,,,,,,
IWS1,-0.17327743,0.631881796,,,,,,,,,,
SIN3A,-1.901535664,5.53E-11,,,,,,,,,,
OSBPL9,-0.364891897,0.089667969,,,,,,,,,,
CRBN,-0.316488179,0.251529123,,,,,,,,,,
VWA9,0.095059608,0.804854578,,,,,,,,,,
ADO,0.043877551,0.885977354,,,,,,,,,,
RBM15,-1.205516266,1.78E-07,,,,,,,,,,
RUFY1,-2.148969489,4.79E-24,,,,,,,,,,
MMS19,-1.721832693,2.56E-13,,,,,,,,,,
FAM129B,-0.401171954,0.081029027,,,,,,,,,,
YME1L1,-1.486077996,6.04E-11,,,,,,,,,,
RMDN3,0.453657305,0.001797367,,,,,,,,,,
MYCBP,-0.952131744,1.30E-06,,,,,,,,,,
ACOX2,1.933077389,3.28E-18,,,,,,,,,,
TBCB,-1.719882805,6.82E-16,,,,,,,,,,
PSMB7,-0.254202869,0.116519225,,,,,,,,,,
CNN2,-0.871529602,5.43E-05,,,,,,,,,,
SEC62,-0.847171146,3.97E-06,,,,,,,,,,
PCYT2,0.246999394,0.091324932,,,,,,,,,,
CDC5L,-1.492604567,2.72E-14,,,,,,,,,,
PSMD1,-0.552869267,2.77E-09,,,,,,,,,,
CD180,-1.235916347,1.66E-05,,,,,,,,,,
SDF2,-0.591240655,0.00736218,,,,,,,,,,
PFDN5,-1.7764902,3.00E-13,,,,,,,,,,
PAFAH2,0.288371388,0.25696723,,,,,,,,,,
DDO,-0.305435442,0.187211541,,,,,,,,,,
PARK7,0.345685997,0.003242448,,,,,,,,,,
NEU1,-2.249959588,1.25E-15,,,,,,,,,,
VAT1,-0.904829258,1.03E-11,,,,,,,,,,
LGMN,-0.195665791,0.209868879,,,,,,,,,,
PLIN2,-1.29486765,0.000570848,,,,,,,,,,
DNAJC2,-1.138351182,7.41E-05,,,,,,,,,,
NUP88,-1.741604365,3.08E-16,,,,,,,,,,
PKP4,-0.356354819,0.397842617,,,,,,,,,,
PIK3R4,-1.044524146,5.61E-09,,,,,,,,,,
POP1,0.603263286,0.09531893,,,,,,,,,,
S100A13,-1.156435644,5.53E-07,,,,,,,,,,
SCAF11,0.786017377,0.040189307,,,,,,,,,,
TIMM17A,-0.057324712,0.832668314,,,,,,,,,,
TSNAX,-1.617478278,3.19E-23,,,,,,,,,,
SEPHS2,0.595544554,0.000366838,,,,,,,,,,
EIF3C;EIF3CL,-1.165983027,1.43E-18,,,,,,,,,,
TTC1,-1.356748838,1.53E-13,,,,,,,,,,
DNAJC7,-1.490735502,1.07E-16,,,,,,,,,,
C12orf57,-0.463265306,0.039831337,,,,,,,,,,
PHB2,0.19821176,0.107421544,,,,,,,,,,
SLC38A3,-0.023226915,0.924762354,,,,,,,,,,
COPS8,-0.792766215,2.96E-05,,,,,,,,,,
PRPF18,1.267468175,5.13E-05,,,,,,,,,,
SDHC,0.68496666,0.000482012,,,,,,,,,,
CHP1,-0.934926248,1.58E-05,,,,,,,,,,
MGLL,1.038492625,2.90E-07,,,,,,,,,,
ATXN2,-1.327167104,1.06E-08,,,,,,,,,,
MTR,-0.120973934,0.773642377,,,,,,,,,,
HSD17B10,0.514629218,6.18E-06,,,,,,,,,,
COL12A1,-1.007253991,0.015118954,,,,,,,,,,
SMAD5,-0.174843403,0.52664299,,,,,,,,,,
SIGMAR1,0.140341483,0.496469225,,,,,,,,,,
HNRNPAB,-1.380733482,1.21E-18,,,,,,,,,,
NAP1L4,-1.606395231,5.09E-25,,,,,,,,,,
MGST2,0.503293595,0.000167767,,,,,,,,,,
NAPG,-0.774156395,0.00016426,,,,,,,,,,
TXN2,-0.065589008,0.653001688,,,,,,,,,,
ATP5S,-0.772923823,1.54E-05,,,,,,,,,,
MIPEP,-0.641705395,0.001486012,,,,,,,,,,
ACO2,-0.192089311,0.097987079,,,,,,,,,,
TM9SF2,-1.298595676,3.68E-21,,,,,,,,,,
COQ7,0.230642554,0.24902449,,,,,,,,,,
SLC29A1,-0.745787028,0.000722649,,,,,,,,,,
TSG101,-1.668054152,3.40E-14,,,,,,,,,,
CPNE1,-0.946009295,2.89E-08,,,,,,,,,,
CCT7,-0.666397252,3.23E-11,,,,,,,,,,
MYD88,-0.414740352,0.019905065,,,,,,,,,,
EBNA1BP2,0.596989291,0.011365763,,,,,,,,,,
PRMT1,-1.748787634,3.17E-24,,,,,,,,,,
BAG1,-0.130208123,0.609169202,,,,,,,,,,
AGPAT1,-1.047676298,1.55E-08,,,,,,,,,,
PKP2,-0.172661144,0.445778462,,,,,,,,,,
SH3GL1,-0.724550414,7.06E-06,,,,,,,,,,
RARRES2,-2.114598909,4.35E-25,,,,,,,,,,
AKAP9,-1.754374621,4.26E-08,,,,,,,,,,
DPYSL5,-0.431844817,0.03457526,,,,,,,,,,
NIPSNAP1,0.49821176,9.11E-05,,,,,,,,,,
ARPC5L,0.087522732,0.649536445,,,,,,,,,,
DDX50,0.121519499,0.776997889,,,,,,,,,,
ELAC2,-0.509961608,0.004882902,,,,,,,,,,
C19orf43,-0.580682966,0.000884488,,,,,,,,,,
GRWD1,-2.046140634,4.49E-22,,,,,,,,,,
MACROD1,0.969125076,2.13E-06,,,,,,,,,,
ECSIT,-0.461982219,0.08468952,,,,,,,,,,
WDR77,-0.973863407,3.66E-11,,,,,,,,,,
C17orf62,-0.89592847,1.44E-07,,,,,,,,,,
VKORC1,0.421074965,0.016986868,,,,,,,,,,
DPH2,0.481996363,0.202431172,,,,,,,,,,
MRPL57,-1.290149525,1.20E-16,,,,,,,,,,
TUBA1C,-0.972428773,9.05E-12,,,,,,,,,,
APOL2,0.014770661,0.938235388,,,,,,,,,,
MYBBP1A,-1.658466357,7.07E-08,,,,,,,,,,
NUDT12,-0.275681956,0.330026412,,,,,,,,,,
RTP3,-0.964144272,2.37E-07,,,,,,,,,,
FYCO1,-1.4384118,7.80E-13,,,,,,,,,,
ACBD6,0.705799151,0.009825056,,,,,,,,,,
CORO1B,-0.38089513,0.000256518,,,,,,,,,,
TXNDC17,0.096807436,0.453527485,,,,,,,,,,
CPPED1,-0.160557688,0.168916028,,,,,,,,,,
VPS25,-0.551081026,2.50E-05,,,,,,,,,,
MRPL45,-2.047181249,5.42E-22,,,,,,,,,,
C7orf50,-1.576864013,2.36E-11,,,,,,,,,,
NUDT16L1,-0.940280865,0.000144779,,,,,,,,,,
SDF4,-0.727641948,7.06E-05,,,,,,,,,,
WIBG,-0.673802788,5.17E-05,,,,,,,,,,
CHCHD6,-0.823701758,0.000570813,,,,,,,,,,
AIFM2,-1.084794908,4.07E-05,,,,,,,,,,
ADPGK,-0.509183673,0.003676828,,,,,,,,,,
RIOK1,-1.352869267,1.25E-10,,,,,,,,,,
UQCC2,-0.733592645,0.000583211,,,,,,,,,,
MIEN1,-0.837330774,3.47E-06,,,,,,,,,,
PELO,-1.368114771,2.15E-09,,,,,,,,,,
FAM213A,-0.095261669,0.617483199,,,,,,,,,,
TRIM56,-0.705203071,0.002815584,,,,,,,,,,
ERP44,-0.069943423,0.565297709,,,,,,,,,,
LXN,-0.925631441,0.001010821,,,,,,,,,,
TMEM175,-0.76970095,0.000337147,,,,,,,,,,
NTPCR,-1.890775914,1.62E-14,,,,,,,,,,
AGMAT,0.949585775,2.16E-08,,,,,,,,,,
C19orf52,-0.190119216,0.485019107,,,,,,,,,,
TACO1,-0.28066276,0.066545002,,,,,,,,,,
HDHD3,0.24582744,0.045118038,,,,,,,,,,
TUBGCP2,-0.042776318,0.90841797,,,,,,,,,,
ESYT1,-0.614295817,1.69E-09,,,,,,,,,,
UBAC1,-0.16228531,0.576680424,,,,,,,,,,
CCM2,0.046453829,0.882939959,,,,,,,,,,
YIPF4,-0.733936149,3.41E-07,,,,,,,,,,
RTKN,-0.22744999,0.386201684,,,,,,,,,,
C16orf70,0.44235199,0.097551019,,,,,,,,,,
CNPY3,-0.475510204,0.000785872,,,,,,,,,,
ALG1,-1.41205294,1.50E-10,,,,,,,,,,
ALKBH7,-0.376884219,0.189714285,,,,,,,,,,
INPP5K,-0.355485957,0.102995502,,,,,,,,,,
PSMG3,-0.671408365,0.000176526,,,,,,,,,,
COPS4,-0.586108305,1.52E-06,,,,,,,,,,
WAC,0.814902,0.009849617,,,,,,,,,,
DIDO1,-0.030602142,0.94952091,,,,,,,,,,
RBM42,-0.518983633,0.06449861,,,,,,,,,,
DCTN5,-0.429319054,0.003753647,,,,,,,,,,
MCMBP,-1.657728834,3.62E-09,,,,,,,,,,
AARSD1,-0.69414023,0.000130349,,,,,,,,,,
URM1,-0.66705395,3.17E-06,,,,,,,,,,
ANP32E,-1.770478885,1.74E-18,,,,,,,,,,
PI4K2A,-1.171923621,5.38E-07,,,,,,,,,,
TMEM43,-0.644069509,3.34E-06,,,,,,,,,,
TBCD,-2.694877753,3.92E-29,,,,,,,,,,
TTPAL,0.198413821,0.458304586,,,,,,,,,,
FUCA2,-0.619690847,0.003603232,,,,,,,,,,
DHRS4,1.643877551,9.37E-13,,,,,,,,,,
THTPA,-0.275287937,0.226259819,,,,,,,,,,
LMF2,-0.292816731,0.055881196,,,,,,,,,,
NDUFAF3,-0.576581128,0.002107283,,,,,,,,,,
DOHH,0.099323096,0.748288847,,,,,,,,,,
TMEM70,-1.732107496,3.66E-19,,,,,,,,,,
TUBB6,-1.34940392,1.05E-06,,,,,,,,,,
C9orf142,-0.447443928,0.01103894,,,,,,,,,,
HNRNPUL1,-1.75370782,4.22E-29,,,,,,,,,,
MSTO1,0.273843201,0.360854957,,,,,,,,,,
PDCD10,-1.269680744,9.05E-16,,,,,,,,,,
DERL1,-0.623701758,0.000643761,,,,,,,,,,
EFHD1,-0.13437058,0.588268405,,,,,,,,,,
HTATIP2,-1.144382704,1.13E-13,,,,,,,,,,
DDX23,-2.417437866,1.97E-24,,,,,,,,,,
APOO,-0.508213781,0.001479013,,,,,,,,,,
BDH2,2.133249141,5.56E-20,,,,,,,,,,
C1orf50,0.857233785,6.41E-05,,,,,,,,,,
MRI1,0.524257426,0.003593,,,,,,,,,,
ABHD6,0.924964639,1.80E-06,,,,,,,,,,
WDR18,-0.562901596,0.031539671,,,,,,,,,,
VAMP8,-1.349030107,8.76E-11,,,,,,,,,,
THUMPD3,-1.407627804,2.24E-09,,,,,,,,,,
ADI1,0.467953122,0.005728295,,,,,,,,,,
RNF126,-0.952010507,2.22E-09,,,,,,,,,,
MECR,-0.01860982,0.932690097,,,,,,,,,,
NTMT1,-0.266599313,0.114751054,,,,,,,,,,
TUBB2B,-1.028551222,1.02E-13,,,,,,,,,,
MLST8,-0.872883411,0.00072861,,,,,,,,,,
TMEM109,-0.369862599,0.020522482,,,,,,,,,,
PBDC1,-1.062942008,1.47E-11,,,,,,,,,,
PTDSS2,0.231016367,0.596998258,,,,,,,,,,
DUSP23,-1.561871085,1.96E-16,,,,,,,,,,
ALG8,-0.292230754,0.235045627,,,,,,,,,,
TMED9,-0.399909073,0.000553531,,,,,,,,,,
NUPL1,-1.223651243,1.54E-09,,,,,,,,,,
SELO,1.830410184,5.61E-16,,,,,,,,,,
GGACT,1.117306527,5.05E-09,,,,,,,,,,
GNL3,-1.029612043,0.002337119,,,,,,,,,,
TRMT61B,0.133067286,0.692416653,,,,,,,,,,
TMUB1,-0.438280461,0.0130872,,,,,,,,,,
TIMM21,-0.293392605,0.212208022,,,,,,,,,,
NUP85,-0.901505355,0.000858579,,,,,,,,,,
HIGD2A,-0.674196807,0.000189111,,,,,,,,,,
IFT27,-1.087290362,3.83E-08,,,,,,,,,,
NUDT9,0.209951505,0.265802014,,,,,,,,,,
TARS2,-1.231561932,4.25E-13,,,,,,,,,,
ACAT2,0.838421903,7.08E-09,,,,,,,,,,
REPIN1,-1.347029703,8.65E-06,,,,,,,,,,
RBM4,-1.903960396,2.31E-17,,,,,,,,,,
FUNDC2,-0.571923621,0.010440954,,,,,,,,,,
RPAP1,0.561062841,0.165556805,,,,,,,,,,
SF3B5,-1.584421095,6.47E-12,,,,,,,,,,
SFXN3,-0.432804607,0.012536525,,,,,,,,,,
COLEC11,-0.439543342,0.073513939,,,,,,,,,,
CHID1,0.216932714,0.220859688,,,,,,,,,,
SLC4A1AP,-1.352394423,4.88E-06,,,,,,,,,,
TAPBPL,-0.267872297,0.252538286,,,,,,,,,,
SORBS1,0.715952718,0.000204013,,,,,,,,,,
HINT2,0.78268337,5.70E-08,,,,,,,,,,
PLA2G12B,0.454061427,0.018525777,,,,,,,,,,
PLVAP,-0.455586987,0.041687712,,,,,,,,,,
OSBPL11,-0.846969085,5.68E-08,,,,,,,,,,
NPL,-0.9089412,5.88E-05,,,,,,,,,,
TMEM120A,0.408516872,0.00089764,,,,,,,,,,
NAA15,-1.229733279,0.00015647,,,,,,,,,,
BCL2L13,0.238896747,0.055417972,,,,,,,,,,
ASPN,-1.530804203,3.52E-08,,,,,,,,,,
SRRT,-1.765649626,1.08E-29,,,,,,,,,,
QTRT1,-0.846090119,9.96E-07,,,,,,,,,,
CFHR5,-1.589795918,1.03E-07,,,,,,,,,,
AP1M1,-0.467094362,0.003501754,,,,,,,,,,
C14orf142,-1.128076379,1.56E-14,,,,,,,,,,
OSBPL1A,-0.314275611,0.455471756,,,,,,,,,,
CECR5,-0.199282683,0.213318117,,,,,,,,,,
ITPA,-1.301980198,5.40E-10,,,,,,,,,,
RTFDC1,-0.113527985,0.727691477,,,,,,,,,,
CHMP4A,-0.752202465,0.00024939,,,,,,,,,,
EIF2A,-1.76205294,2.97E-27,,,,,,,,,,
PECR,0.802889473,4.28E-07,,,,,,,,,,
SEC11C,-0.283026874,0.176226203,,,,,,,,,,
CADM1,-1.938553243,1.71E-20,,,,,,,,,,
POLDIP3,-1.399858557,6.79E-07,,,,,,,,,,
KIAA1671,0.006577086,0.988764533,,,,,,,,,,
MRPL32,-0.184562538,0.384536258,,,,,,,,,,
MRPL20,-1.107718731,3.05E-09,,,,,,,,,,
MRPL13,-1.75966862,1.19E-16,,,,,,,,,,
MRPL9,-1.659971711,1.95E-13,,,,,,,,,,
MRPL4,-1.830642554,1.02E-22,,,,,,,,,,
MRPL1,-1.280339463,1.24E-08,,,,,,,,,,
FAM126A,-0.735623358,0.028797074,,,,,,,,,,
RBCK1,-0.67579309,0.096330219,,,,,,,,,,
SRXN1,-0.492998586,0.090902681,,,,,,,,,,
MRPS26,-0.879379673,2.79E-05,,,,,,,,,,
WNK3,1.54020004,0.00037954,,,,,,,,,,
NLN,0.130965852,0.385488163,,,,,,,,,,
AGXT2,1.190755708,0.000171413,,,,,,,,,,
BCO2,1.375146494,1.32E-07,,,,,,,,,,
PANK2,0.464710042,0.192747228,,,,,,,,,,
DOCK9,1.245605173,0.008605711,,,,,,,,,,
FRMD8,0.289715094,0.404864788,,,,,,,,,,
MRPL37,-2.388037987,1.47E-27,,,,,,,,,,
ASPSCR1,-1.784895939,8.16E-28,,,,,,,,,,
OSBPL8,-0.96837745,4.33E-05,,,,,,,,,,
UACA,-1.310810265,3.46E-06,,,,,,,,,,
WDR11,-2.340028289,5.32E-28,,,,,,,,,,
CRNKL1,-0.280864821,0.443368629,,,,,,,,,,
TBL1XR1,-2.134451404,4.23E-23,,,,,,,,,,
UBL5,-0.732885431,2.31E-05,,,,,,,,,,
PPP1R12C,-0.031178016,0.930270997,,,,,,,,,,
PRKD2,0.043635078,0.891427501,,,,,,,,,,
EDEM3,-0.849747424,0.005264714,,,,,,,,,,
FAM129A,-1.358183471,2.32E-05,,,,,,,,,,
UBXN6,-0.672923823,0.00134073,,,,,,,,,,
SLC19A3,1.0043039,2.12E-06,,,,,,,,,,
TRIM31,0.671287129,0.001531068,,,,,,,,,,
SIGLEC1,-0.072166094,0.835139779,,,,,,,,,,
API5,-1.255314205,3.05E-21,,,,,,,,,,
DPY30,-1.067700546,6.72E-11,,,,,,,,,,
TRIM5,-0.608042029,0.079677669,,,,,,,,,,
TRIM4,0.426773085,0.171239327,,,,,,,,,,
TRIM2,-0.123590624,0.771588952,,,,,,,,,,
UNK,0.870408163,0.007064618,,,,,,,,,,
FTO,-0.750394019,0.000404756,,,,,,,,,,
ZDHHC5,0.433016771,0.236527661,,,,,,,,,,
TNKS1BP1,-0.19844413,0.102727086,,,,,,,,,,
UBE2O,-2.039523136,2.67E-23,,,,,,,,,,
ZYG11B,0.797787432,0.067009962,,,,,,,,,,
EPT1,-0.292362093,0.050948817,,,,,,,,,,
XPO4,-1.630753688,6.24E-12,,,,,,,,,,
LNP,0.133734088,0.325201821,,,,,,,,,,
SRCIN1,-0.93781572,0.046696721,,,,,,,,,,
MTMR12,-0.866104263,0.00015647,,,,,,,,,,
WDR33,0.902818751,0.027678616,,,,,,,,,,
WDR12,-0.375368761,0.189714285,,,,,,,,,,
YIPF3,-1.274378662,7.39E-10,,,,,,,,,,
C20orf27,0.22721762,0.338434027,,,,,,,,,,
PITHD1,-0.139725197,0.338422429,,,,,,,,,,
DERL2,-0.091412407,0.572988383,,,,,,,,,,
COMMD5,-0.31407355,0.11974593,,,,,,,,,,
DDX24,0.808779551,0.019997455,,,,,,,,,,
WDR61,-1.428086482,1.12E-19,,,,,,,,,,
SLIRP,-0.853485553,6.90E-08,,,,,,,,,,
CCDC90B,-0.404374621,0.051249342,,,,,,,,,,
NIF3L1,-0.303798747,0.037516668,,,,,,,,,,
EGLN1,-1.494261467,4.00E-13,,,,,,,,,,
FAM192A,0.320185896,0.275524811,,,,,,,,,,
MFF,-1.309082643,1.27E-09,,,,,,,,,,
NAA50,-1.633966458,2.28E-12,,,,,,,,,,
UBA5,-0.886562942,1.14E-09,,,,,,,,,,
LHPP,1.308001616,3.80E-10,,,,,,,,,,
MTFR1L,-0.165124268,0.619084088,,,,,,,,,,
TMEM126A,-0.418731057,0.034011985,,,,,,,,,,
PAIP1,-1.015639523,3.63E-12,,,,,,,,,,
CLPB,-0.342543948,0.022086115,,,,,,,,,,
RAB33B,-0.826843807,0.000260936,,,,,,,,,,
LSG1,-0.383723985,0.334385887,,,,,,,,,,
FAM107B,-0.299333199,0.181674951,,,,,,,,,,
NAT10,-1.72589412,1.97E-09,,,,,,,,,,
COMMD4,-0.745938573,4.21E-06,,,,,,,,,,
ILKAP,-0.733390584,0.000949673,,,,,,,,,,
XRN2,-2.133865427,1.97E-24,,,,,,,,,,
TOLLIP,-0.346635684,0.017371463,,,,,,,,,,
SHARPIN,-0.016983229,0.963827246,,,,,,,,,,
PARP12,-0.250969893,0.449114829,,,,,,,,,,
CSTF2T,-1.371974136,1.86E-07,,,,,,,,,,
WWP1,-0.79261467,0.008489915,,,,,,,,,,
RAB6C,-1.275409174,1.22E-13,,,,,,,,,,
PCBD2,0.412871287,0.018366316,,,,,,,,,,
NT5C3A,-1.240422308,4.32E-07,,,,,,,,,,
FAM49A,-0.66433623,0.009269679,,,,,,,,,,
TMEM222,0.013800768,0.928323508,,,,,,,,,,
HDHD2,0.195787028,0.247757877,,,,,,,,,,
QRSL1,-0.76374015,0.003934135,,,,,,,,,,
DDX47,0.800404122,0.005237275,,,,,,,,,,
RAB17,0.602444938,0.001203604,,,,,,,,,,
MAGT1,-0.112335825,0.488522398,,,,,,,,,,
RAB1B,-0.664063447,5.36E-11,,,,,,,,,,
MRPL18,-0.358486563,0.045118038,,,,,,,,,,
LMAN2L,-0.381774096,0.017749649,,,,,,,,,,
C11orf54,0.900858759,1.35E-09,,,,,,,,,,
ITFG3,-0.865780966,0.00015075,,,,,,,,,,
SIL1,-0.940402101,0.000527682,,,,,,,,,,
ANAPC1,-1.141604365,0.003238053,,,,,,,,,,
IRF2BPL,0.431592241,0.277514239,,,,,,,,,,
UNC93B1,-0.573893716,0.060788814,,,,,,,,,,
CYSTM1,-1.056718529,8.50E-10,,,,,,,,,,
NUCKS1,-0.607435846,0.009170647,,,,,,,,,,
TMX4,-0.786239644,0.000184728,,,,,,,,,,
ASCC2,-1.16718529,9.17E-07,,,,,,,,,,
RBSN,-0.837260053,0.023438065,,,,,,,,,,
SLC25A18,-0.639957567,0.023231649,,,,,,,,,,
OSBPL2,0.052798545,0.882607835,,,,,,,,,,
DNAJC25,0.339169529,0.130879593,,,,,,,,,,
ATG5,-1.049424126,1.97E-09,,,,,,,,,,
WDR13,-0.438260255,0.049076127,,,,,,,,,,
EHD4,-1.811628612,9.86E-29,,,,,,,,,,
GBA3,0.676803395,0.015213561,,,,,,,,,,
VPS33B,-1.117124672,1.11E-08,,,,,,,,,,
VPS16,-1.167235805,4.47E-06,,,,,,,,,,
VPS11,-1.105506163,0.000263479,,,,,,,,,,
SH3BGRL3,-0.54559507,0.006221064,,,,,,,,,,
ALDH8A1,3.293786624,1.92E-25,,,,,,,,,,
SLC26A1,0.087078198,0.728895807,,,,,,,,,,
TRIOBP,0.430016165,0.175242838,,,,,,,,,,
HSD3B7,-0.378753283,0.051522536,,,,,,,,,,
SLK,-0.921964033,7.30E-10,,,,,,,,,,
PPIL3,-0.549110932,0.001048508,,,,,,,,,,
PDCL3,-1.07804607,3.88E-07,,,,,,,,,,
MTIF3,0.359163467,0.27920038,,,,,,,,,,
TAOK3,-1.980511214,3.15E-22,,,,,,,,,,
BHMT2,2.629652455,7.20E-25,,,,,,,,,,
RAB3GAP2,-1.781420489,3.82E-28,,,,,,,,,,
ADNP,-0.6543039,0.117508548,,,,,,,,,,
DPH5,-0.164154375,0.591109131,,,,,,,,,,
DHX36,-1.699787836,4.30E-13,,,,,,,,,,
PPA2,0.090876945,0.423891163,,,,,,,,,,
SPNS1,-1.229743383,1.93E-10,,,,,,,,,,
MRPL46,-0.587361083,2.36E-05,,,,,,,,,,
CLEC4M,1.66168923,4.24E-15,,,,,,,,,,
PARL,-0.328733077,0.223542358,,,,,,,,,,
PNN,-1.675156597,1.21E-12,,,,,,,,,,
TMEM245,-0.454101839,0.009118508,,,,,,,,,,
KCTD10,0.013194585,0.976991459,,,,,,,,,,
CPVL,-0.094423116,0.708664065,,,,,,,,,,
C11orf68,-1.474378662,2.66E-15,,,,,,,,,,
BOLA2,-2.326136593,2.41E-21,,,,,,,,,,
TMX1,-0.688603758,1.51E-08,,,,,,,,,,
NELFA,-0.175732471,0.624390322,,,,,,,,,,
ACBD3,-2.113911901,6.12E-36,,,,,,,,,,
CDC42EP4,-0.647353001,0.000929497,,,,,,,,,,
TPK1,0.434491817,0.197493449,,,,,,,,,,
PTPN23,-1.571660942,3.45E-20,,,,,,,,,,
UNC45A,-1.912386341,5.71E-14,,,,,,,,,,
DNAJC5,-1.237987472,4.87E-10,,,,,,,,,,
CHMP4B,-1.262992524,2.67E-11,,,,,,,,,,
RWDD1,-0.777783391,5.12E-05,,,,,,,,,,
FBXL15,0.907213579,0.016232533,,,,,,,,,,
RBKS,1.20119216,6.82E-16,,,,,,,,,,
FN3K,-0.131036573,0.433881987,,,,,,,,,,
POFUT1,-0.157900586,0.233274869,,,,,,,,,,
PIGU,-0.040412204,0.866423669,,,,,,,,,,
WNK1,-1.262133764,1.71E-11,,,,,,,,,,
RNPEP,-0.246069913,0.018526907,,,,,,,,,,
GOLPH3L,-1.073671449,3.53E-06,,,,,,,,,,
GOLPH3,-1.800687007,2.89E-26,,,,,,,,,,
OSGEPL1,-0.983976561,2.29E-05,,,,,,,,,,
SMOC1,-0.806839766,0.023473954,,,,,,,,,,
EPB41L1,-0.922792483,0.004659689,,,,,,,,,,
GLIPR2,-0.375924429,0.1184631,,,,,,,,,,
FBXO44,-0.626459891,0.022290292,,,,,,,,,,
EHD1,0.576298242,3.19E-05,,,,,,,,,,
